id,status,score_100,bucket,aggregate_view,prompt_version,model,occlusion_overlap_check,occlusion_findings,occlusion_affected_axes,input_path,rationale
card_dsl_98c6943138,scored,25.0,"[20,30)",image,aesthetic-v4,MiniMax-M3,always_on,[],[],D:\A2UI\CartTaskSpec\datasets\case-600-newSkill-gpt5.5-long\Case-01-low-power-001\card.dsl.png,"image: 命中 [20,30) 档：属于单卡状态/工具卡类型（电池电量+地图后台定位），深紫渐变背景有意图，标题/副标题/进度条层次清晰，底部地图占用条有圆角胶囊细节。视觉处理较 [10,20) 默认模板更克制有主题感，但仍为单卡信息展示，无多模块产品深度、未见丰富状态设计或品牌系统，未达 [30,40) 完整多区产品页标准。"
card_dsl_083cb5b804,scored,45.0,"[40,50)",image,aesthetic-v4,MiniMax-M3,always_on,[],[],D:\A2UI\CartTaskSpec\datasets\case-600-newSkill-gpt5.5-long\Case-01-low-power-004\card.dsl.png,"image: 命中[40,50)档：属于单卡片精致widget类型；可见证据为深红渐变背景、半透明信息卡、12%电量读数与三个药丸按钮、空白白色图标占位；玻璃拟态与警示配色协调，但仅一卡一屏，缺少更广组件体系与品牌纵深，未达[50,60)。"
card_dsl_56d3b65cfc,scored,45.0,"[40,50)",image,aesthetic-v4,MiniMax-M3,always_on,[],[],D:\A2UI\CartTaskSpec\datasets\case-600-newSkill-gpt5.5-long\Case-01-low-power-007\card.dsl.png,"image: 命中 [40,50) 档：属于单卡片精致工具型（低电+会议提醒）；可见证据为暖棕橙渐变背景、28%环形进度、15:00会议信息卡与三按钮（开启省电/查看日程/找充电宝），视觉场景连贯。未进 [50,60) 因组件深度有限，仅一张主卡片+三按钮，无图表或更丰富的状态层次；未进 [20,30) 因主题背景、环形进度、按钮态对比有刻意设计感。"
card_dsl_5be228e070,scored,15.0,"[10,20)",image,aesthetic-v4,MiniMax-M3,always_on,"[{""affected_axes"": [""visual_impact_originality"", ""detail_finish"", ""typography"", ""composition_hierarchy"", ""basic_usability""], ""evidence"": ""每张卡内左下角为空白灰色方块，无图标或内容显示，疑似缺失/未加载"", ""severity"": ""moderate"", ""target"": ""三张设备卡左下角图标"", ""type"": ""clipping_crop""}]","[{""axis"": ""visual_impact_originality"", ""finding_types"": [""clipping_crop""], ""score"": 1.3, ""severity"": ""moderate"", ""weight"": 0.3, ""weighted_contribution"": 0.39, ""weighted_loss_from_max"": 2.01}, {""axis"": ""composition_hierarchy"", ""finding_types"": [""clipping_crop""], ""score"": 1.3, ""severity"": ""moderate"", ""weight"": 0.2, ""weighted_contribution"": 0.26, ""weighted_loss_from_max"": 1.34}, {""axis"": ""typography"", ""finding_types"": [""clipping_crop""], ""score"": 1.0, ""severity"": ""moderate"", ""weight"": 0.15, ""weighted_contribution"": 0.15, ""weighted_loss_from_max"": 1.05}, {""axis"": ""detail_finish"", ""finding_types"": [""clipping_crop""], ""score"": 0.6, ""severity"": ""moderate"", ""weight"": 0.15, ""weighted_contribution"": 0.09, ""weighted_loss_from_max"": 1.11}, {""axis"": ""basic_usability"", ""finding_types"": [""clipping_crop""], ""score"": 1.5, ""severity"": ""moderate"", ""weight"": 0.05, ""weighted_contribution"": 0.075, ""weighted_loss_from_max"": 0.325}]",D:\A2UI\CartTaskSpec\datasets\case-600-newSkill-gpt5.5-long\Case-01-low-power-003\card.dsl.png,"image: 命中 [10,20) 档：属于低质量设备状态工具/通知组件；可见证据为深色背景、三张设备卡（手机18%/手表12%/平板46%）、蓝色进度条、绿色对勾、底部提示与蓝色""开省电""按钮；控件默认、卡片左下角为空白灰色占位方块（缺失图标），类型化程度低、视觉无品牌深度。未进 [20,30) 因控件仍为默认样式且存在占位缺陷，并非完整工作流的多卡结构。"
card_dsl_2ba8d6aa74,scored,5.0,"[0,10)",image,aesthetic-v4,MiniMax-M3,always_on,[],[],D:\A2UI\CartTaskSpec\datasets\case-600-newSkill-gpt5.5-long\Case-01-low-power-008\card.dsl.png,"image: 命中 [0,10) 档：属于单卡片省电玩具工具类型；可见证据是紫色渐变背景、白色默认字体、四行文本+绿色'开'开关按钮、无图标无插画无导航无品牌系统；未进 [10,20) 因为没有筛选/输入区、多卡片或多控件结构，纯粹是默认控件加留白，不构成低模板。"
card_dsl_37bc991dfc,scored,65.0,"[60,70)",image,aesthetic-v4,MiniMax-M3,always_on,[],[],D:\A2UI\CartTaskSpec\datasets\case-600-newSkill-gpt5.5-long\Case-01-low-power-005\card.dsl.png,image: score_only
card_dsl_45502bdbb5,scored,68.75,"[60,70)",image,aesthetic-v4,MiniMax-M3,always_on,[],[],D:\A2UI\CartTaskSpec\datasets\case-600-newSkill-gpt5.5-long\Case-01-low-power-002\card.dsl.png,image: score_only
card_dsl_7ec5702f6c,scored,52.5,"[50,60)",image,aesthetic-v4,MiniMax-M3,always_on,[],[],D:\A2UI\CartTaskSpec\datasets\case-600-newSkill-gpt5.5-long\Case-01-low-power-006\card.dsl.png,image: score_only
card_dsl_1e75a82d2e,scored,5.0,"[0,10)",image,aesthetic-v4,MiniMax-M3,always_on,[],[],D:\A2UI\CartTaskSpec\datasets\case-600-newSkill-gpt5.5-long\Case-01-low-power-010\card.dsl.png,"image: 命中 [0,10) 档：属于单功能省电工具类型，黄色背景配三个圆形分类卡+大字数字68+一个主按钮；可见证据是默认外观的圆角方块按钮、纯色药丸标签和大块留白，系统字体无品牌体系；未进 [10,20) 因仅一个主操作、控件全部默认、空白占比过大、无多控件/筛选/列表等完整工作流。"
card_dsl_e6cad02031,scored,45.0,"[40,50)",image,aesthetic-v4,MiniMax-M3,always_on,[],[],D:\A2UI\CartTaskSpec\datasets\case-600-newSkill-gpt5.5-long\Case-01-low-power-009\card.dsl.png,"image: 命中 [40,50) 档：属于单屏车载仪表/控件场景；可见证据是深色背景、左侧带进度环的18%电量指示、三个白色信息卡（温度/天气/充电）、右侧导航胶囊按钮，构图与排版整洁。未进 [50,60) 因视觉系统偏通用深色车机样式，缺少更具辨识度的品牌语言与材质层次。"
