id,status,score_100,bucket,aggregate_view,prompt_version,model,occlusion_overlap_check,occlusion_findings,occlusion_affected_axes,input_path,rationale
card_dsl_98c6943138,scored,5.0,"[0,10)",image,aesthetic-v4,doubao-seed-2-1-pro-260628,always_on,[],[],D:\code\A2UI\vlm\aesthetic-v4-vlm-judge-package-20260624\input\test_60\Case-01-low-power-001\card.dsl.png,"image: 命中[0,10)档：属于无完整产品结构的渐变单动作面板类简陋界面；可见证据是橙渐变圆角背景上仅放置日历小图标、今日安排标题、单条日程文本与1个功能按钮，无多区块布局、无成体系视觉设计，大部分区域为无实质内容的渐变填充；未进更高档因为不具备[10,20)档要求的多控件、稳定页头或列表类模板结构。"
card_dsl_2f39192544,scored,5.0,"[0,10)",image,aesthetic-v4,doubao-seed-2-1-pro-260628,always_on,[],[],D:\code\A2UI\vlm\aesthetic-v4-vlm-judge-package-20260624\input\test_60\Case-02-earphone-music-006\card.dsl.png,"image: 命中[0,10)档：属于简陋单动作小工具面板；可见证据是纯紫色填充背景，仅零散排布“已连接”状态标签、模糊音符图标、温度与多云天气文本、单个绿色“听歌”按钮，界面存在大量空白，无完整产品结构，图标素材粗糙，无成熟视觉设计体系；未进更高档因为不具备多控件、稳定模板壳或完整工作流的[10,20)档要求，无多模块布局与成型组件系统。"
card_dsl_d45286bf49,scored,5.0,"[0,10)",image,aesthetic-v4,doubao-seed-2-1-pro-260628,always_on,[],[],D:\code\A2UI\vlm\aesthetic-v4-vlm-judge-package-20260624\input\test_60\Case-02-earphone-music-001\card.dsl.png,"image: 命中[0,10)档：属于无完整产品结构的简陋信息块类型；可见证据是仅含两个深灰圆角矩形模块，上方为模糊耳机图标配“音乐”文字，下方为时间配会议名称，无导航、交互控件等完整页面结构，使用系统默认字体，无专属视觉系统，图标粗糙发虚；未进更高档因为不具备完整demo的稳定功能布局与多控件结构，视觉完成度极低。"
card_dsl_e6f9042451,scored,15.0,"[10,20)",image,aesthetic-v4,doubao-seed-2-1-pro-260628,always_on,[],[],D:\code\A2UI\vlm\aesthetic-v4-vlm-judge-package-20260624\input\test_60\Case-03-anti-addiction-001\card.dsl.png,"image: 命中[10,20)档：属于低质量演示类工具界面；可见证据是布局稳定、功能可识别，包含防沉迷时长状态卡、3个管控选项复选框、2个操作按钮，但控件均为基础默认样式仅简单改色，无成熟视觉系统，色彩生硬、内容稀疏；未进更高档因为缺乏完整产品结构与刻意视觉设计，达不到[20,30)档的完整工作流与基础主题完成度。"
card_dsl_6b2ffacc26,scored,5.0,"[0,10)",image,aesthetic-v4,doubao-seed-2-1-pro-260628,always_on,[],[],D:\code\A2UI\vlm\aesthetic-v4-vlm-judge-package-20260624\input\test_60\Case-03-anti-addiction-006\card.dsl.png,"image: 命中[0,10)档：属于简陋的单功能裸提示组件；可见证据是仅含两个基础橙色圆角按钮、一个灰色时长提示块，图标粗糙，排版简陋，存在大量空白，无成型视觉系统；未进更高档因为无完整页面结构与品牌设计语言，控件排版均为粗糙默认样式，未达低质模板的完成度。"
card_dsl_27addf6c60,scored,5.0,"[0,10)",image,aesthetic-v4,doubao-seed-2-1-pro-260628,always_on,[],[],D:\code\A2UI\vlm\aesthetic-v4-vlm-judge-package-20260624\input\test_60\Case-04-focus-001\card.dsl.png,"image: 命中[0,10)档：属于简陋单操作提示类小工具面板；可见证据是紫色渐变背景，仅展示免打扰状态、简易天气信息，搭配1个默认样式按钮，使用系统默认字体，天气文案排版随意换行，无成熟视觉设计体系；未进更高档因为缺少多控件、列表、稳定页头等模板结构，内容极度稀疏，无精细化设计打磨。"
card_dsl_038f50add5,scored,5.0,"[0,10)",image,aesthetic-v4,doubao-seed-2-1-pro-260628,always_on,[],[],D:\code\A2UI\vlm\aesthetic-v4-vlm-judge-package-20260624\input\test_60\Case-05-agenda-001\card.dsl.png,"image: 命中[0,10)档：属于极简单动作提醒类粗糙工具页面；可见证据是页面仅包含标题、单条会议信息、天气文本、一个默认样式按钮，存在大面积空白区域，使用系统默认字体样式，没有成型的视觉设计体系；未进更高档因为无完整产品结构、无主题设计、控件全为默认原生样式，视觉质量接近未完成的练习页面水平。"
card_dsl_7ec5702f6c,scored,15.0,"[10,20)",image,aesthetic-v4,doubao-seed-2-1-pro-260628,always_on,"[{""affected_axes"": [""typography"", ""composition_hierarchy"", ""detail_finish"", ""basic_usability""], ""evidence"": ""命中[10,20)档：属于低质量默认模板类单功能提示弹窗；可见证据是深色圆角背景搭配基础平涂样式的图标、文字、胶囊按钮，布局对齐规整、功能清晰，包含标题、副提示语、三个高耗电选项按钮和绿色主操作按钮，无内容遮挡重叠；未进更高档因为仅为简单提示弹窗，无多区块完整工作流结构，全为默认风格控件，无定制视觉系统、品牌特征与精致细节，视觉简陋未达低阶完整产品级UI要求。"", ""severity"": ""severe"", ""target"": ""text over image/icon"", ""type"": ""text_graphic""}]","[{""axis"": ""composition_hierarchy"", ""finding_types"": [""text_graphic""], ""score"": 1.1, ""severity"": ""severe"", ""weight"": 0.2, ""weighted_contribution"": 0.22, ""weighted_loss_from_max"": 1.38}, {""axis"": ""typography"", ""finding_types"": [""text_graphic""], ""score"": 0.8, ""severity"": ""severe"", ""weight"": 0.15, ""weighted_contribution"": 0.12, ""weighted_loss_from_max"": 1.08}, {""axis"": ""detail_finish"", ""finding_types"": [""text_graphic""], ""score"": 0.7, ""severity"": ""severe"", ""weight"": 0.15, ""weighted_contribution"": 0.105, ""weighted_loss_from_max"": 1.095}, {""axis"": ""basic_usability"", ""finding_types"": [""text_graphic""], ""score"": 1.0, ""severity"": ""severe"", ""weight"": 0.05, ""weighted_contribution"": 0.05, ""weighted_loss_from_max"": 0.35}]",D:\code\A2UI\vlm\aesthetic-v4-vlm-judge-package-20260624\input\test_60\Case-01-low-power-006\card.dsl.png,"image: 命中[10,20)档：属于低质量默认模板类单功能提示弹窗；可见证据是深色圆角背景搭配基础平涂样式的图标、文字、胶囊按钮，布局对齐规整、功能清晰，包含标题、副提示语、三个高耗电选项按钮和绿色主操作按钮，无内容遮挡重叠；未进更高档因为仅为简单提示弹窗，无多区块完整工作流结构，全为默认风格控件，无定制视觉系统、品牌特征与精致细节，视觉简陋未达低阶完整产品级UI要求。"
card_dsl_49204e9f2b,scored,5.0,"[0,10)",image,aesthetic-v4,doubao-seed-2-1-pro-260628,always_on,"[{""affected_axes"": [""composition_hierarchy"", ""typography"", ""detail_finish"", ""basic_usability""], ""evidence"": ""白色月牙装饰图形层级错误置于文字上方，遮挡“已完成”中的“完”字大部分区域，完全遮盖“今日”后方的说明文字"", ""severity"": ""moderate"", ""target"": ""核心状态文案、次级说明文案"", ""type"": ""text_graphic""}]","[{""axis"": ""composition_hierarchy"", ""finding_types"": [""text_graphic""], ""score"": 0.3, ""severity"": ""moderate"", ""weight"": 0.2, ""weighted_contribution"": 0.06, ""weighted_loss_from_max"": 1.54}, {""axis"": ""typography"", ""finding_types"": [""text_graphic""], ""score"": 0.1, ""severity"": ""moderate"", ""weight"": 0.15, ""weighted_contribution"": 0.015, ""weighted_loss_from_max"": 1.185}, {""axis"": ""detail_finish"", ""finding_types"": [""text_graphic""], ""score"": 0.1, ""severity"": ""moderate"", ""weight"": 0.15, ""weighted_contribution"": 0.015, ""weighted_loss_from_max"": 1.185}, {""axis"": ""basic_usability"", ""finding_types"": [""text_graphic""], ""score"": 0.2, ""severity"": ""moderate"", ""weight"": 0.05, ""weighted_contribution"": 0.01, ""weighted_loss_from_max"": 0.39}]",D:\code\A2UI\vlm\aesthetic-v4-vlm-judge-package-20260624\input\test_60\Case-04-focus-006\card.dsl.png,"image: 命中[0,10)档：属于空白渐变单动作提示类简陋工具界面；可见证据是仅普通紫色渐变背景、默认无设计白字、单个“轻点进入”按钮，白色月牙图形层级错误遮挡文字，无成型视觉系统，排版粗糙；未进更高档因为存在明显图层错误，内容极度单薄无产品级设计，视觉质量接近失败。"
card_dsl_003d287ebb,scored,5.0,"[0,10)",image,aesthetic-v4,doubao-seed-2-1-pro-260628,always_on,[],[],D:\code\A2UI\vlm\aesthetic-v4-vlm-judge-package-20260624\input\test_60\Case-05-agenda-006\card.dsl.png,"image: 命中[0,10)档：属于无完整结构的简陋裸提示内容，未达到基础模板完成度；可见证据为仅在纯橙色圆角背景上堆叠数行系统默认样式文字，搭配质感粗糙的模糊装饰图形，无导航、交互控件、功能模块等基础页面元素，无成型视觉设计体系；未进更高档因为不具备[10,20)档要求的稳定布局、基础控件或页头等模板结构，视觉完成度近乎失败。"
