id,status,score_100,bucket,aggregate_view,prompt_version,model,occlusion_overlap_check,occlusion_findings,occlusion_affected_axes,input_path,rationale
card_dsl_98c6943138,scored,5.0,"[0,10)",image,aesthetic-v4,doubao-seed-2-1-pro-260628,always_on,[],[],D:\code\A2UI\vlm\aesthetic-v4-vlm-judge-package-20260624\input\test_60\Case-01-low-power-001\card.dsl.png,"image: 命中[0,10)档：属于空白渐变单动作简陋面板类型；可见证据是橙渐变圆角背景，仅含日历小图标、今日安排标题、单条日程文本、一个充电地图跳转按钮，其余区域全为渐变空白，无多模块布局与成熟视觉体系；未进更高档因为符合单动作空渐变面板的低质特征，缺乏多控件、列表或稳定页面框架，达不到[10,20)档的完整模板结构要求。"
card_dsl_7ec5702f6c,scored,15.0,"[10,20)",image,aesthetic-v4,doubao-seed-2-1-pro-260628,always_on,"[{""affected_axes"": [""typography"", ""composition_hierarchy"", ""detail_finish"", ""basic_usability""], ""evidence"": ""命中[10,20)档：属于基础系统功能提示弹窗类型；可见证据是深色圆角卡片承载低电模式提示，搭配通用电池图标、层级清晰的提示文字、三个高耗电项标签、绿色主操作按钮，布局稳定无内容遮挡，控件均为系统默认样式；未进更高档因为无定制化品牌视觉系统，设计朴素无特色，仅为基础模板级样式，缺乏专属设计语言与细节打磨。"", ""severity"": ""severe"", ""target"": ""text over image/icon"", ""type"": ""text_graphic""}]","[{""axis"": ""composition_hierarchy"", ""finding_types"": [""text_graphic""], ""score"": 1.1, ""severity"": ""severe"", ""weight"": 0.2, ""weighted_contribution"": 0.22, ""weighted_loss_from_max"": 1.38}, {""axis"": ""typography"", ""finding_types"": [""text_graphic""], ""score"": 0.8, ""severity"": ""severe"", ""weight"": 0.15, ""weighted_contribution"": 0.12, ""weighted_loss_from_max"": 1.08}, {""axis"": ""detail_finish"", ""finding_types"": [""text_graphic""], ""score"": 0.7, ""severity"": ""severe"", ""weight"": 0.15, ""weighted_contribution"": 0.105, ""weighted_loss_from_max"": 1.095}, {""axis"": ""basic_usability"", ""finding_types"": [""text_graphic""], ""score"": 1.0, ""severity"": ""severe"", ""weight"": 0.05, ""weighted_contribution"": 0.05, ""weighted_loss_from_max"": 0.35}]",D:\code\A2UI\vlm\aesthetic-v4-vlm-judge-package-20260624\input\test_60\Case-01-low-power-006\card.dsl.png,"image: 命中[10,20)档：属于基础系统功能提示弹窗类型；可见证据是深色圆角卡片承载低电模式提示，搭配通用电池图标、层级清晰的提示文字、三个高耗电项标签、绿色主操作按钮，布局稳定无内容遮挡，控件均为系统默认样式；未进更高档因为无定制化品牌视觉系统，设计朴素无特色，仅为基础模板级样式，缺乏专属设计语言与细节打磨。"
card_dsl_d45286bf49,scored,5.0,"[0,10)",image,aesthetic-v4,doubao-seed-2-1-pro-260628,always_on,[],[],D:\code\A2UI\vlm\aesthetic-v4-vlm-judge-package-20260624\input\test_60\Case-02-earphone-music-001\card.dsl.png,"image: 命中[0,10)档：属于非完整产品界面的简陋信息块，视觉质量接近失败；可见证据是仅含两个深灰圆角块，上方搭配模糊耳机图标与“音乐”文字，下方仅展示时间与会议名，无完整页面结构、交互控件，无成型视觉设计系统，图标质感粗糙；未进更高档因为不具备低质模板的多控件与稳定页面框架，无完整功能呈现。"
card_dsl_2f39192544,scored,5.0,"[0,10)",image,aesthetic-v4,doubao-seed-2-1-pro-260628,always_on,[],[],D:\code\A2UI\vlm\aesthetic-v4-vlm-judge-package-20260624\input\test_60\Case-02-earphone-music-006\card.dsl.png,"image: 命中[0,10)档：属于简陋单动作小工具面板；可见证据是纯紫色背景，仅含已连接状态标签、模糊占位音符图标、温度天气文字、单个绿色听歌按钮，大面积留空，无成型视觉体系；未进更高档因为内容极度单薄，无完整产品结构与设计打磨，仅为极简单功能雏形。"
card_dsl_e6f9042451,scored,15.0,"[10,20)",image,aesthetic-v4,doubao-seed-2-1-pro-260628,always_on,[],[],D:\code\A2UI\vlm\aesthetic-v4-vlm-judge-package-20260624\input\test_60\Case-03-anti-addiction-001\card.dsl.png,"image: 命中[10,20)档：属于低质量工具类demo模板；可见证据是布局稳定，清晰呈现防沉迷使用时长、选项勾选进度，配有3个管控复选项、2个操作按钮，核心功能可识别；但整体为默认白卡、原生感复选控件、普通纯色按钮，无专属视觉体系，细节粗糙内容稀疏；未进更高档因为缺乏主题设计、品牌特征与产品级打磨，仅达基础功能可见的模板水平。"
card_dsl_6b2ffacc26,scored,5.0,"[0,10)",image,aesthetic-v4,doubao-seed-2-1-pro-260628,always_on,[],[],D:\code\A2UI\vlm\aesthetic-v4-vlm-judge-package-20260624\input\test_60\Case-03-anti-addiction-006\card.dsl.png,"image: 命中[0,10)档：属于简陋的单功能状态提示类工具界面；可见证据是仅竖向排布两个基础橙色圆角按钮、一个灰色时长状态块，搭配粗糙的默认秒表图标，其余区域全为空白，使用系统默认字体，无成型视觉体系与完整产品结构；未进更高档因为缺乏多控件/模块布局，无设计打磨，达不到低质模板的完整度要求。"
card_dsl_27addf6c60,scored,5.0,"[0,10)",image,aesthetic-v4,doubao-seed-2-1-pro-260628,always_on,[],[],D:\code\A2UI\vlm\aesthetic-v4-vlm-judge-package-20260624\input\test_60\Case-04-focus-001\card.dsl.png,"image: 命中[0,10)档：属于简陋的单操作提示面板类型；可见证据是紫色渐变外框，仅拼接免打扰静态提示、单个开关设置按钮与简易天气信息块，存在大量空白区域，排版松散，天气模块文字换行生硬，使用默认系统字体与按钮样式，无成熟视觉设计体系；未进更高档因为无多控件结构与完整产品布局，状态丰富度达不到低质模板要求。"
card_dsl_49204e9f2b,scored,5.0,"[0,10)",image,aesthetic-v4,doubao-seed-2-1-pro-260628,always_on,"[{""affected_axes"": [""typography"", ""composition_hierarchy"", ""detail_finish"", ""basic_usability""], ""evidence"": ""命中[0,10)档：属于粗糙的单卡片提示类界面；可见证据是仅配紫色渐变背景、白色默认字体、边缘模糊的月牙装饰、单个半透“轻点进入”按钮，月牙装饰遮挡核心状态文字的大部分区域，完全覆盖次级说明文字后续内容，无成型视觉系统，内容极度稀疏；未进更高档因为存在核心信息被装饰遮挡的严重缺陷，视觉完成度极低，不具备合格产品UI的基本可读性与结构完整性。"", ""severity"": ""severe"", ""target"": ""text over image/icon"", ""type"": ""text_graphic""}]","[{""axis"": ""composition_hierarchy"", ""finding_types"": [""text_graphic""], ""score"": 0.3, ""severity"": ""severe"", ""weight"": 0.2, ""weighted_contribution"": 0.06, ""weighted_loss_from_max"": 1.54}, {""axis"": ""typography"", ""finding_types"": [""text_graphic""], ""score"": 0.1, ""severity"": ""severe"", ""weight"": 0.15, ""weighted_contribution"": 0.015, ""weighted_loss_from_max"": 1.185}, {""axis"": ""detail_finish"", ""finding_types"": [""text_graphic""], ""score"": 0.1, ""severity"": ""severe"", ""weight"": 0.15, ""weighted_contribution"": 0.015, ""weighted_loss_from_max"": 1.185}, {""axis"": ""basic_usability"", ""finding_types"": [""text_graphic""], ""score"": 0.2, ""severity"": ""severe"", ""weight"": 0.05, ""weighted_contribution"": 0.01, ""weighted_loss_from_max"": 0.39}]",D:\code\A2UI\vlm\aesthetic-v4-vlm-judge-package-20260624\input\test_60\Case-04-focus-006\card.dsl.png,"image: 命中[0,10)档：属于粗糙的单卡片提示类界面；可见证据是仅配紫色渐变背景、白色默认字体、边缘模糊的月牙装饰、单个半透“轻点进入”按钮，月牙装饰遮挡核心状态文字的大部分区域，完全覆盖次级说明文字后续内容，无成型视觉系统，内容极度稀疏；未进更高档因为存在核心信息被装饰遮挡的严重缺陷，视觉完成度极低，不具备合格产品UI的基本可读性与结构完整性。"
card_dsl_038f50add5,scored,5.0,"[0,10)",image,aesthetic-v4,doubao-seed-2-1-pro-260628,always_on,[],[],D:\code\A2UI\vlm\aesthetic-v4-vlm-judge-package-20260624\input\test_60\Case-05-agenda-001\card.dsl.png,"image: 命中[0,10)档：属于极简单功能提醒类裸工具页面；可见证据是仅含默认样式的粗体标题、单块浅蓝圆角信息卡、天气文本、单个原生风格灰色按钮，大面积留白，使用系统默认字体，无成型视觉层次；未进更高档因为仅单信息块加单按钮，无多控件/列表/导航结构，无主题设计与组件打磨，不具备基础产品级完成度。"
card_dsl_003d287ebb,scored,5.0,"[0,10)",image,aesthetic-v4,doubao-seed-2-1-pro-260628,always_on,[],[],D:\code\A2UI\vlm\aesthetic-v4-vlm-judge-package-20260624\input\test_60\Case-05-agenda-006\card.dsl.png,"image: 命中[0,10)档：属于简陋的单信息提示类粗糙小工具界面；可见证据是仅橙色圆角背景堆叠简单的会议迟到提醒文字，背景装饰图形模糊发虚，无完整产品结构、交互控件与成型视觉系统，排版随意无精细层次；未进更高档因为不具备稳定模板的多控件/区块结构，视觉质量近失败，无成熟设计意图。"
