id,status,score_100,bucket,aggregate_view,prompt_version,model,occlusion_overlap_check,occlusion_findings,occlusion_affected_axes,input_path,rationale
card_dsl_98c6943138,scored,72.5,"[70,80)",image,aesthetic-v4,MiniMax-M3,always_on,[],[],D:\code\A2UI\vlm\aesthetic-v4-vlm-judge-package-20260624\input\test_60\Case-01-low-power-001\card.dsl.png,image: score_only
card_dsl_7ec5702f6c,scored,5.0,"[0,10)",image,aesthetic-v4,MiniMax-M3,always_on,[],[],D:\code\A2UI\vlm\aesthetic-v4-vlm-judge-package-20260624\input\test_60\Case-01-low-power-006\card.dsl.png,"image: 命中 [0,10) 档：属于单卡工具型 widget，原型类似系统级省电快捷卡片；可见证据为深色圆角容器、电池图标、标题'低电模式'与副标题、三枚信息性胶囊按钮(亮度/定位/蓝牙)与一枚绿色主 CTA'开启省电'，无真实交互深度；未进 [10,20) 因为该卡仅有标签式按钮并非多控件表单，缺乏分区/筛选/列表等结构，视觉为系统默认暗底加单色高亮，无品牌系统可言。"
card_dsl_d45286bf49,scored,5.0,"[0,10)",image,aesthetic-v4,MiniMax-M3,always_on,[],[],D:\code\A2UI\vlm\aesthetic-v4-vlm-judge-package-20260624\input\test_60\Case-02-earphone-music-001\card.dsl.png,"image: 命中 [0,10) 档：属于单卡手表/通知极简屏；可见证据为深色背景上一张音乐图标卡加底部时间'10:30'和'项目同步会'，无设计系统、无层次、无品牌；未进 [10,20) 因仅一张默认卡+时间文字，无任何控件/列表/导航/表头等多元素模板结构，接近系统级极简通知。"
card_dsl_2f39192544,scored,5.0,"[0,10)",image,aesthetic-v4,MiniMax-M3,always_on,[],[],D:\code\A2UI\vlm\aesthetic-v4-vlm-judge-package-20260624\input\test_60\Case-02-earphone-music-006\card.dsl.png,"image: 命中 [0,10) 档：属于智能音箱/单屏工具类极简小程序，可见证据为紫色渐变背景、一个音乐图标、一行26°C多云天气、一个已连接徽章和单一绿色听歌按钮；无列表、无导航、无系统化组件；空白占比极大、内容极薄，未达 [10,20) 所需的若干控件与列表结构。"
card_dsl_e6f9042451,scored,15.0,"[10,20)",image,aesthetic-v4,MiniMax-M3,always_on,[],[],D:\code\A2UI\vlm\aesthetic-v4-vlm-judge-package-20260624\input\test_60\Case-03-anti-addiction-001\card.dsl.png,"image: 命中 [10,20) 档：属于单用途小组件/管控弹窗类型；可见证据是两张白卡+三个橙色勾选框+两个大圆角按钮(橙/蓝)，排版直白、字体系统默认、配色仅依赖橙蓝对比、卡片无阴影层级、底部大量留白，文本'关闭游戏…'被截断但属于常规省略；未进 [20,30) 因为没有完整多面板工作流、缺品牌色系与组件深度，仅是默认样式的简单工具。"
card_dsl_6b2ffacc26,scored,5.0,"[0,10)",image,aesthetic-v4,MiniMax-M3,always_on,[],[],D:\code\A2UI\vlm\aesthetic-v4-vlm-judge-package-20260624\input\test_60\Case-03-anti-addiction-006\card.dsl.png,"image: 命中 [0,10) 档：属于极简屏幕时间/风险提示类玩具型小工具。可见证据为顶部一个橙色'去设置'按钮、中部一枚灰色卡片配秒表图标显示'今日已用42分钟'、底部一个橙色'危险 超时风险'按钮，其余大面积留白。仅系统默认字体与两块纯色按钮，比例松散、无品牌视觉系统、无状态层次；未进 [10,20) 因缺乏多控件/筛选/列表等可识别的页面骨架与表单深度。"
card_dsl_27addf6c60,scored,25.0,"[20,30)",image,aesthetic-v4,MiniMax-M3,always_on,[],[],D:\code\A2UI\vlm\aesthetic-v4-vlm-judge-package-20260624\input\test_60\Case-04-focus-001\card.dsl.png,"image: 命中 [20,30) 档：属于手机小部件/双卡工具页类型；可见证据为紫色渐变背景、左侧免打扰状态卡含月牙图标与白色开关按钮，右侧白色天气卡显示26°C与空气质量，版式分两块、留白多。视觉处理有渐变与圆角但内容薄，未进更高档因为缺少多区块层次、图表、列表深度，仅是简单双卡小部件。"
card_dsl_49204e9f2b,scored,43.75,"[40,50)",image,aesthetic-v4,MiniMax-M3,always_on,[],[],D:\code\A2UI\vlm\aesthetic-v4-vlm-judge-package-20260624\input\test_60\Case-04-focus-006\card.dsl.png,image: score_only
card_dsl_038f50add5,scored,5.0,"[0,10)",image,aesthetic-v4,MiniMax-M3,always_on,[],[],D:\code\A2UI\vlm\aesthetic-v4-vlm-judge-package-20260624\input\test_60\Case-05-agenda-001\card.dsl.png,"image: 命中 [0,10) 档：属于空状态提醒/工具型小卡片，原型为空提醒表单＋单操作按钮。证据：标题'会议提醒'＋蓝色时段信息卡＋一行天气文字＋灰色'打开日历'按钮，四周大片留白，无系统化视觉语言。未进 [10,20) 因控件仅一组信息＋一按钮，无任何次级结构、筛选或列表，无视觉层次可言。"
card_dsl_003d287ebb,scored,77.5,"[70,80)",image,aesthetic-v4,MiniMax-M3,always_on,[],[],D:\code\A2UI\vlm\aesthetic-v4-vlm-judge-package-20260624\input\test_60\Case-05-agenda-006\card.dsl.png,image: score_only
card_dsl_c1fe0574a5,scored,5.0,"[0,10)",image,aesthetic-v4,MiniMax-M3,always_on,[],[],D:\code\A2UI\vlm\aesthetic-v4-vlm-judge-package-20260624\input\test_60\Case-06-memory-clean-001\card.dsl.png,"image: 命中 [0,10) 档：属于单卡玩具型工具（内存清理/日程提醒），仅一色彩环+默认胶囊按钮+大块空白，无导航/无产品体系/无状态设计；可见证据为82%环形、剩余3.2GB、已清理胶囊、右侧日程卡与绿色打开清理按钮，整体为默认控件拼合；未进 [10,20) 因为缺少筛选/列表/多控件等稳定页面结构，未达低模板门槛。"
card_dsl_e9a646e14b,scored,25.0,"[20,30)",image,aesthetic-v4,MiniMax-M3,always_on,[],[],D:\code\A2UI\vlm\aesthetic-v4-vlm-judge-package-20260624\input\test_60\Case-06-memory-clean-006\card.dsl.png,"image: 命中 [20,30) 档：属于单卡工具型应用（缓存清理），深蓝紫渐变背景配绿色强调色，圆形进度环显示 1.8G 统计，三项 checklist 与绿色 CTA 按钮构成完整视觉系统。视觉处理比 [10,20) 默认表单更有设计感，控制集更丰富，但仍是单卡工具，产品深度与品牌辨识度有限，未达 [30,40) 的多模块产品级 UI。"
card_dsl_35454cec1f,scored,5.0,"[0,10)",image,aesthetic-v4,MiniMax-M3,always_on,[],[],D:\code\A2UI\vlm\aesthetic-v4-vlm-judge-package-20260624\input\test_60\Case-07-sports-event-001\card.dsl.png,"image: 命中 [0,10) 档：属于单卡玩具式状态显示（冲刺赛87分+红色警告按钮）；可见证据是仅一个小跑者图标、一个巨大红色数字、一个灰色标签和一个圆角红按钮，无输入、无列表、无导航、无视觉系统；未进 [10,20) 因内容极薄，不构成多控件模板页面。"
card_dsl_24d8eac353,scored,15.0,"[10,20)",image,aesthetic-v4,MiniMax-M3,always_on,[],[],D:\code\A2UI\vlm\aesthetic-v4-vlm-judge-package-20260624\input\test_60\Case-07-sports-event-006\card.dsl.png,"image: 命中 [10,20) 档：属于低质量双卡信息小部件，左卡倒计时+右卡天气，仅两块默认白卡加红/蓝按钮的极简模板。视觉系统缺失、无品牌识别、空白占比大。未进 [20,30) 因为没有完整业务流（无列表/筛选/多步骤），仅是两块静态信息卡加动作按钮。"
card_dsl_d0c22d5c58,scored,45.0,"[40,50)",image,aesthetic-v4,MiniMax-M3,always_on,[],[],D:\code\A2UI\vlm\aesthetic-v4-vlm-judge-package-20260624\input\test_60\Case-08-sleep-001\card.dsl.png,"image: 命中 [40,50) 档：属于深色数据卡片/小组件类型；可见证据为深色背景配紫红渐变柱图、7h32m主读数、均值/环比次级信息、日程次卡与详情CTA，版式整洁。但属于单卡片widget，信息深度有限、视觉系统偏常见，未达 [50,60) 的多模块深色专业仪表盘水平。"
card_dsl_e5d993b478,scored,45.0,"[40,50)",image,aesthetic-v4,MiniMax-M3,always_on,[],[],D:\code\A2UI\vlm\aesthetic-v4-vlm-judge-package-20260624\input\test_60\Case-08-sleep-006\card.dsl.png,"image: 命中[40,50)档：属于单卡片睡眠监测主题面板；可见证据是深蓝紫渐变背景、紫色进度环、1h42m深睡读数、天气信息分区、红色危险告警条，场景设计完整有主题感。未进[50,60)因为仅为单卡片widget，无多面板/多模块健康控制中心深度，组件语言偏简洁。"
card_dsl_a2c976902c,scored,15.0,"[10,20)",image,aesthetic-v4,MiniMax-M3,always_on,[],[],D:\code\A2UI\vlm\aesthetic-v4-vlm-judge-package-20260624\input\test_60\Case-09-weather-care-001\card.dsl.png,"image: 命中 [10,20) 档：属于简易天气预警 widget 组件视图，仅两张并排卡片（红色高温预警 + 当前位置信息）和一个 CTA 按钮，控件为默认圆角样式，缺少导航、图表、列表等结构深度；颜色虽用粉红做强调但整体单薄，类型层级基础。未进 [20,30) 因内容仅为单条预警+单组读数，工作流极简；未进 [0,10) 因有两张结构化卡片与一个明确按钮，非纯空白 toy。"
